City part,Street,Size (m²),Price,PSQMY,Lower,Number of rooms,Floor,Number of floors,Built year,Renovation years,Renovations,Construction type,Heating type,Refurbishment,Features,Extra areas,Extra stuff,Security,URL
Senamiestyje,Žemaitijos ,21,380,217.2,TRUE,1,3,4,1978,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-zemaitijos-g-nuo-rugpjucio-15-dienos-be-tarpininku-4-829385/
Senamiestyje,Klaipėdos ,111,1999,216.12,FALSE,4,2,3,2012,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,"Sandėliukas, balkonas, vieta automobiliui","Kondicionierius, su baldais","Šarvuotos durys, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-klaipedos-g-prabangus-4k-butas-senamiestyje-prestiziniame-4-836765/
Senamiestyje,Subačiaus ,50,900,216,FALSE,2,2,4,2017,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-subaciaus-g-nuomojamas-50-kvm-butas-su-balkonu-pacioje-4-832023/
Užupyje,Polocko ,62,1100,212.88,TRUE,2,1,3,2018,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Atskiras įėjimas, nauja elektros instaliacija, internetas, virtuvė sujungta su kambariu","Sandėliukas, terasa, vieta automobiliui","Skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, indaplovė, dušo kabina","Šarvuotos durys, signalizacija, kodinė laiptinės spyna, videokameros, budintis sargas",http://www.aruodas.lt/butu-nuoma-vilniuje-uzupyje-polocko-g-vilniaus-senojo-miesto-sirdyje-isikurusiose-4-827475/
Užupyje,Polocko ,62,1100,212.88,FALSE,2,1,3,2018,0,FALSE,Mūrinis,"Centrinis kolektorinis, kita",Įrengtas,"Internetas, kabelinė televizija, uždaras kiemas, aukštos lubos","Terasa, vieta automobiliui","Indaplovė, skalbimo mašina, su baldais, viryklė, šaldytuvas, virtuvės komplektas, dušo kabina","Kodinė laiptinės spyna, šarvuotos durys, videokameros, signalizacija, budintis sargas",http://www.aruodas.lt/butu-nuoma-vilniuje-uzupyje-polocko-g-nuomojami-isskirtiniai-prabangiai-irengti-4-839773/
Senamiestyje,Šv. Ignoto ,74,1300,210.84,FALSE,3,2,3,1700,0,FALSE,Mūrinis,Centrinis,Įrengtas,"Aukštos lubos, butas per kelis aukštus, kabelinė televizija, internetas, virtuvė sujungta su kambariu",,"Vonia, su baldais, skalbimo mašina","Kodinė laiptinės spyna, signalizacija",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-sv-ignoto-g-isnuomojami-prabangus-apartamentai-vilniaus-4-771775/
Senamiestyje,Mindaugo ,81,1400,207.36,FALSE,3,2,5,2016,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,"Aukštos lubos, nauja kanalizacija, nauja elektros instaliacija, uždaras kiemas, virtuvė sujungta su kambariu",Balkonas,"Kondicionierius, skalbimo mašina, su baldais, šaldytuvas, šildomos grindys, virtuvės komplektas, viryklė, indaplovė, dušo kabina","Šarvuotos durys, signalizacija, kodinė laiptinės spyna, videokameros",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-mindaugo-g-isnuomojamas-moderniai-irengtas-3-ju-kambariu-4-838319/
Senamiestyje,Olimpiečių ,44,760,207.24,FALSE,2,4,4,2017,0,FALSE,Mūrinis,Centrinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-olimpieciu-g-pilnai-irengtas-bustas-prestizines-klases-4-827255/
Senamiestyje,Stiklių ,117,2000,205.08,FALSE,3,3,4,2006,0,FALSE,Mūrinis,"Centrinis kolektorinis, centrinis",Įrengtas,"Internetas, virtuvė sujungta su kambariu, uždaras kiemas, aukštos lubos","Vieta automobiliui, balkonas, drabužinė","Šildomos grindys, viryklė, su baldais, šaldytuvas, indaplovė, virtuvės komplektas, skalbimo mašina, dušo kabina","Šarvuotos durys, signalizacija, kodinė laiptinės spyna",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-stikliu-g-nuomojamas-erdvus-dizaineriu-irengtas-3-ju-4-840727/
Žvėryne,Latvių ,100,1700,204,FALSE,3,3,4,2005,0,FALSE,Mūrinis,"Centrinis kolektorinis, centrinis",Įrengtas,Virtuvė sujungta su kambariu,"Balkonas, terasa, vieta automobiliui",,"Videokameros, signalizacija",http://www.aruodas.lt/butu-nuoma-vilniuje-zveryne-latviu-g-nuomojamas-isskirtinis-3-kambariu-butas-su-4-836179/
Senamiestyje,Vingrių ,50,840,201.6,FALSE,2,3,3,2017,2017,TRUE,Mūrinis,Dujinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-vingriu-g-daugiau-nuotrauku-ir-informacijos-wwwfbcom-4-834003/
Senamiestyje,Vingrių ,50,840,201.6,FALSE,2,3,3,2016,0,FALSE,Mūrinis,"Centrinis kolektorinis, kita, dujinis",Įrengtas,"Internetas, kabelinė televizija, virtuvė sujungta su kambariu, uždaras kiemas","Balkonas, vieta automobiliui","Skalbimo mašina, su baldais, virtuvės komplektas, viryklė, šaldytuvas, židinys, vonia, dušo kabina","Kodinė laiptinės spyna, šarvuotos durys",http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-vingriu-g-isskirtiniai-dvieju-kambariu-apartamentai-4-836123/
Senamiestyje,Vingrių ,50,840,201.6,FALSE,2,2,4,2016,0,FALSE,Mūrinis,Centrinis kolektorinis,Įrengtas,,,,,http://www.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-vingriu-g-isnuomojamas-2-kambariu-50-m-butas-4-836017/
